Nama,Lokasi,Kontak,Parkir,Kategori,URL Tenant
IDECOR,2F-36,Visit Tenant Official Website,3 near LOBBY LIFT B,Home Related,https://lippomallpuri.com/tenantDetail?tenant=2e6ce46ce0
IEYE,UG-39,02129111093,3 near LOBBY LIFT A,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=55d7a7a75d
IMPERIAL KITCHEN & DIMSUM,LG-06,Visit Tenant Official Website,LG near LOBBY PAXI / FOOD GARDEN,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=01b126b81a
INNISFREE,G-21,Visit Tenant Official Website,BASEMENT near LOBBY LIFT C,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=aed2ede066
IPPUDO,LG-157,,LG near LOBBY TAKESHITA,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=43ee1103ee
IRWANTEAM,LG-102,02129111270,LG near LOBBY PAXI / FOOD GARDEN,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=0620d2dedd
IUIGA,UG-70,Visit Tenant Official Website,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=c2ffc2afff
IXOBOX,B-11,Visit Tenant Official Website,BASEMENT near LOBBY TEKO,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=28e6e6678d
JACK & JOHN,LG-73B,Visit Tenant Official Website,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=0c956c9ee6
JD SPORTS,G-37,Visit Tenant Official Website,BASEMENT near LOBBY LIFT B,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=8eb8eebe08
JIN MU,1F-103,Visit Tenant Official Website,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=98e188e9e6
JOOMBA,G-70,Visit Tenant Official Website,3 near Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=16125151aa
JUSTICE,UG-23,,3 near LOBBY LIFT B,Children Related,https://lippomallpuri.com/tenantDetail?tenant=3d3dd337ed
KAFE BETAWI,LG-20,02130493026,LG near LOBBY PAXI / FOOD GARDEN,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6da939d2ed
KAIZEN,2F-15,081219730037,3 near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=8b5de8e88b
KALCARE,LG-91,02129111329,BASEMENT near LOBBY SAMSAT,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=95dbd4d05d
Kappa Sushi,1F-01A,,3 near Lobby Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=8688668566
Kawara Yakiniku,LG-153,,3 near LIFT A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=e1e26556e2
KAY COLLECTION,LG-56,02122582824,BASEMENT near LOBBY SAMSAT,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=606edd2ee0
KEDS,G-87,Visit Tenant Official Website,BASEMENT near LOBBY LIFT C,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=edb91ed1e2
KEMAYU,UG-K08B,Visit Tenant Official Website,3 near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=1fe221020d
KFC,1F-FOOD AV,Visit Tenant Official Website,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6e2abba60b
KIDDY CUTS,LG-55,02122582827,BASEMENT near LOBBY SAMSAT,Children Related,https://lippomallpuri.com/tenantDetail?tenant=0d3c3ee063
KIDZ STATION,1F-75,02122582765,BASEMENT near LOBBY SAMSAT,Children Related,https://lippomallpuri.com/tenantDetail?tenant=976eb99999
KIDZOOONA,LG-36,02122582747,BASEMENT near LOBBY ROCKSTAR GYM,Children Related,https://lippomallpuri.com/tenantDetail?tenant=0e3600dee3
KIMS K FOOD,LG-71,Visit Tenant Official Website,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=661a6e0eee
KIMUKATSU,LG-156,02180679316,LG near LOBBY TAKESHITA,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=a6661060e0
Kina Art,2F-76B,,3 near Lobby Lift B,"Books Gifts, Hobbies",https://lippomallpuri.com/tenantDetail?tenant=9666354616
Kintan Buffet,G-112 & 1,,3 near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=ccf37939f7
KITCHEN ART,2F-07,,3 near LOBBY LIFT B,Home Related,https://lippomallpuri.com/tenantDetail?tenant=23c23cc322
KITCHENETTE,G-07,Visit Tenant Official Website,BASEMENT near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=220227e93b
KKULDAK,LG-FOOD HA,,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=066126b161
KKV,LG-85,Visit Tenant Official Website,BASEMENT near LOBBY SAMSAT,Home Related,https://lippomallpuri.com/tenantDetail?tenant=de6e4460e0
Klik n Klik,1F-77,,3 near Lobby Lift B,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=66c6ff0fb6
KOI CAFE,1F-92,02122582716,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=99901b9d9e
KOI THE,G-66,,BASEMENT near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=11ce2beb15
KOPI KENANGAN,LG-115,Visit Tenant Official Website,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=e3cc21e621
Kopi Kenangan 2,G-115A,,Basement near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=34d6356d34
KRISPY KREME,LG-K06,02129111204,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=0e02ce60e6
Kwetiaw Sapi Jangkung,LG-138,,B near LOBBY LIFT A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=0404cc44c0
L'OCCITANE,LG-95,02129402098,BASEMENT near LOBBY SAMSAT,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=9ee0966ee2
LA DIANA,LG-05,02129111381,LG near LOBBY PAXI / FOOD GARDEN,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=6e0e5065dd
LACE LYNELLE,1F-K07,,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=2b062fb666
LACOSTE,G-03,02122582822,BASEMENT near LOBBY LIFT C,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=d0b142eb24
Lapis Lapis,LG-K-01A,,3 near Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=f0edee40ed
LASHTIGE EYELASH & NAIL,LG-FOOD HA,Visit Tenant Official Website,BASEMENT near LOBBY ROCKSTAR GYM,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=2ed96fd9e3
LEGATO GELATO,LG-K-05-C,,LG near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=c62cd6c6c7
Leonards Pastry,LG-K-23TA,,B near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6565a366aa
LIANG SANDWICH,LG-K09B,Visit Tenant Official Website,BASEMENT near LOBBY SAMSAT,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=61de0e02ee
LIGHT HOUSE,2F-10B,Visit Tenant Official Website,3 near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=e06f66fdd0
LINO & SONS,G-29,Visit Tenant Official Website,BASEMENT near LOBBY LIFT B,Jewellery,https://lippomallpuri.com/tenantDetail?tenant=6baba10e62
Liven,1F-K09A,,3 near Lobby Lift B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=bff8fb5b2f
LLAO LLAO,LG-K-07,,LG near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=78c2332c6a
LOCK & LOCK,LG-90,Visit Tenant Official Website,BASEMENT near LOBBY SAMSAT,Home Related,https://lippomallpuri.com/tenantDetail?tenant=a23773c368
LOOKLAB,LG-92,,LG near Lobby Lift B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=266d536963
Love Bonito,"G-79,80,8",,3 near Lobby Lift B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=3335f3ff65
LUMI FACIAL CARE,LG-224,,B near Lobby Lift C,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=b3f332336b
M7 TACTICAL,2F-75,Visit Tenant Official Website,3 near LOBBY LIFT C,Entertainment,https://lippomallpuri.com/tenantDetail?tenant=6dbbf262b2
Madcoco,LG-77,,B near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=69afff3ff3
Mama Roz,2F-K01,,3 near Lobby Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=8a8cf3f343
MANDIRI,UG-R10,02129111101,3 near LOBBY LIFT C,Services,https://lippomallpuri.com/tenantDetail?tenant=2440a0242f
Manekineko,LG-B-02,,Basement near Lift C,Entertainment,https://lippomallpuri.com/tenantDetail?tenant=e555de6d58
MANZONE CONCEPT,1F-33,02122582729,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=e72ee777c9
MARKS & SPENCER,UG-3,02122582857,3 near LOBBY LIFT C,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=adecc08cd0
MARUGAME UDON,LG-112,Visit Tenant Official Website,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6a6a666aae
MATAHARI,1F-56,02129111043,3 near LOBBY LIFT A,Dept. Store,https://lippomallpuri.com/tenantDetail?tenant=e62446c56c
MAX FASHIONS,UG-53,Visit Tenant Official Website,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=d68ea1063d
MAXX COFFEE,G-77,02129111275,BASEMENT near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=57eb25c3ce
MAXX COFFEE,G-95,02129111275,BASEMENT near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=772ccb60d2
MAY MAY SALON,2F-22,02122582817,3 near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=2e99062e25
MEISO,LG-28,Visit Tenant Official Website,LG near LOBBY PAXI / FOOD GARDEN,Services,https://lippomallpuri.com/tenantDetail?tenant=c4c363724e
MELISSA SHOES,UG-68,Visit Tenant Official Website,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=d4eb2dd6ea
MI STORE,1F-87,,3 near LOBBY LIFT B,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=beee60622e
Michie,1F-61-62,081280061885,3 near Lift A,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=ff4846f64a
Mie Tarik Medan,LG-135L,,3 near LIFT A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=ba403ada36
Milky Way,G-62,,B near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=f766f930ff
MINISO,UG-26,Visit Tenant Official Website,3 near LOBBY LIFT B,"Books Gifts, Hobbies",https://lippomallpuri.com/tenantDetail?tenant=19ee129c1c
Moja Photobooth,2F-K-11,,3 near Lobby Lift C,Children Related,https://lippomallpuri.com/tenantDetail?tenant=29b22669b3
MOMOIRO,LG-0607,02130493219,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=0e06e13833
MOMOKINO,LG-FOOD HA,,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=0e0e2303e2
Montato,LG-11K,,Basement near LOBBY LIFT A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=7e6764ffe6
MOSCATO,UG-30,Visit Tenant Official Website,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=dd9269ed9d
MOTHERCARE & ELC,UG-75,,3 near LOBBY LIFT B,Children Related,https://lippomallpuri.com/tenantDetail?tenant=74254285ed
MR DIY,2F-33,Visit Tenant Official Website,3 near LOBBY LIFT B,Home Related,https://lippomallpuri.com/tenantDetail?tenant=e0e5e2ee5c
MR. DAKGALBI,LG-70,Visit Tenant Official Website,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=70755ee969
MUTIARA,1F-02A,Visit Tenant Official Website,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=a0a0aaa26e
MUTIARA SAKTI,LG-22E,081297898982,LG near LOBBY PAXI / FOOD GARDEN,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=10e3e627e1
My Feet,LG-80,,B near Lobby Lift B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=7360d63da8
Myeongdong Toppoki,LG-20A,,B near Lobby Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=96103030ed
NAMHEONG,G-106,,LG near Lobby Lift A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=3693b66692
Nannys Pavillon,1F-09A,,3 near Lobby Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=63660414e7
NATURAL FARM,LG-52,Visit Tenant Official Website,BASEMENT near LOBBY SAMSAT,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=5aa55ae6a5
NATURE REPUBLIC,LG-89,Visit Tenant Official Website,BASEMENT near LOBBY SAMSAT,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=7761e1cce6
Naughty,1F-39,,3 near Lobby Lift B,"Books Gifts, Hobbies",https://lippomallpuri.com/tenantDetail?tenant=e036040626
Nespresso,1F-AT-A-5B,,3 near Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=222c7c1517
NEW BALANCE,UG-29,02122582796,3 near LOBBY LIFT B,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=66a64fbfa6
NEW ERA,UG-15,Visit Tenant Official Website,3 near LOBBY LIFT B,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=00b433ee64
NIKE,G-87,02122582841,BASEMENT near LOBBY LIFT C,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=30e963b26b
NINE WORLDS,UG-K09F,Visit Tenant Official Website,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=e0ee0e6220
NOBU NATIONAL BANK,G-96,Visit Tenant Official Website,BASEMENT near LOBBY LIFT C,Services,https://lippomallpuri.com/tenantDetail?tenant=2afa02e2fa
Nozawa Bakery,LG-K - 19,,B near LOBBY LIFT A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=2266229424
Obaja Tour,LG-21 A,,B near Lobby Lift C,Tour & Travel,https://lippomallpuri.com/tenantDetail?tenant=00ab9a6cbc
OBERMAIN,1F-27,02122582743,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=eefefeee0f
Ocean 8,G-107,,B near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=3301703707
Ohana Dental Care,2F-L2-79A,,3 near Lobby Lift C,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=f907867010
ONNIE STUDIO,LG-22C,Visit Tenant Official Website,LG near LOBBY PAXI / FOOD GARDEN,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=e6dd1f1161
OOPPA,1F-37,Visit Tenant Official Website,3 near LOBBY LIFT B,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=e2d229992d
Oppo,1F-25,,3 near Lobby Lift C,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=73fff97772
OPTIK MELAWAI,UG-14,02122582715,3 near LOBBY LIFT B,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=e660e60266
OPTIK SEIS SIGNATURE,UG-83,02122582477,3 near LOBBY LIFT C,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=d00b286d68
Oshusan,LG-K 0 5A,,Basement near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=366d4d6513
OSIM,LG-99,Visit Tenant Official Website,BASEMENT near LOBBY SAMSAT,Home Related,https://lippomallpuri.com/tenantDetail?tenant=6e62e75676
OUR DAILY DOSE,UG-12,02130493079,3 near LOBBY LIFT B,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=b6b6c00e0e
OWN DAYS,UG-18,,3 near LOBBY LIFT B,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=d246606600
PANAMA,1F-K06,Visit Tenant Official Website,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=c2e262a2cc
PANCIOUS,LG-115,Visit Tenant Official Website,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=bc62cff07c
PANORAMA JTB,LG-120,02180633799,LG near LOBBY TAKESHITA,Tour & Travel,https://lippomallpuri.com/tenantDetail?tenant=efef6de660
PappaJack,LG-9,,B near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=36263a3c23
PARANG KENCANA,UG-75,02129111319,BASEMENT near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=eeaf00ed40
PAXI BARBERSHOP,LG-22I,02122582730,LG near LOBBY PAXI / FOOD GARDEN,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=a2cdacac04
PAYLESS SHOESOURCE,1F-78,02130493015,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=6ed0fee2ef
PEPPER LUNCH,LG-116,Visit Tenant Official Website,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=11e10082cc
PHO STREET,1F-10,02180679327,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=c601ec12c6
PIGEON,LG-57,02122582746,BASEMENT near LOBBY SAMSAT,Children Related,https://lippomallpuri.com/tenantDetail?tenant=60b6be6d4c
PIKA PIKU,2F-K-12B,,3 near Lobby Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=ed6e2e22de
PIZZA MARZANO,LG-FOOD HA,Visit Tenant Official Website,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=010c11100c
PIZZA PEZZO,LG-K01B,Visit Tenant Official Website,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=ddc31e2df2
Play & Win,2F-K16,,3 near Lobby Lift C,Children Related,https://lippomallpuri.com/tenantDetail?tenant=6ff868ff38
Playtopia,2F-23,,3 near Amazone,Children Related,https://lippomallpuri.com/tenantDetail?tenant=4464464a6a
PLAYWORKS,1F-73,Visit Tenant Official Website,3 near LOBBY LIFT B,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=4ccc40ae42
